Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
Amcinonide,,,NO,A fluorinated synthetic corticosteroid used topically for the relief of inflammation and pruritus in corticosteroid-responsive dermatoses.,Amcinopol;CL 34699;CL-34699;CL34699;Cyclocort,,,,Hormones and hormonal mechanisms,Glucocorticoid.  Probably not cancer directed--verify with attending MD.
Amdray,,,YES,Phase III p-Glycoprotein modulator. Novartis.,PSC 833;PSC-833;PSC833;SDZ PSC 833;Valspodar,Leukemia,,648265,Ancillary Agent,Multidrug resistance modulator
Ametantrone Acetate,,,NO,Not found in Drugdex drug evaluation.,CI 881;CI881,,CI-881,287513,Chemotherapy,Anthracyline--no longer in use
Amifostine,,,YES,"Phase III leukemia Phase II NHL, skin An organic thiophosphate cytoprotective agent; MedImmune Oncology; radioprotector; prevents nephrotoxicity, neurotoxicity",Ethanethiol;Ethiofos;Ethyol;Gammafos;WR 2721;WR-2721;WR2721;YM 08310;YM-08310;YM08310,Breast;leukemia;lymphoma;NSCLC;prostate;skin cancer,,296961,Ancillary Agent,
Amikacin Sulfate,,,YES,A semi-synthetic aminoglycoside antimicrobial; antimycobacterial,Amikacin;Amikacin Sulfate;Amikin;D-Streptamine;Mikasome,,,,AIDS drug,
Aminobenzoate Potassium,,,YES,"Has been used in the treatment of various disorders associated with excessive fibrosis, such as scleroderma and Peyronie's disease; analgesic; Not found in Drugdex drug evaluation.",Pabalate-SF;Potaba,,,,Ancillary Agent,
Aminocamptothecin,,,NO,"CLL, breast, lung, lymphoma Topoisomerase I inhibitor. ",9-Aminocamptothecin,Leukemia;breast;lung cancer;lymphoma,9-AC,603071,Chemotherapy,Cytostatic agent--topoisomerase inhibitor
Aminoglutethimide,,,NO,"Aminoglutethimide interrupts the production of cortisol, aldosterone, and estrogens.",Ba 16038;Ba-16038;Ba16038;Cytadren;Elipten,,AG;AGT,330915,Hormones and hormonal mechanisms,Adrenocortical suppressant
Aminopterin,,,NO,Phase II. Antifolate; antimetabolite; ILEX Oncology.,4-Aminofolic acid;4-Aminopteroylglutamate;A-Ninopterin;Aminopteridine;Aminopterin sodium;ENT 26079;ENT-26079,Leukemia,APGA,739;000739,Chemotherapy,Antimetabolite
Aminosalicylate Calcium,,,YES,Bacteriostatic agent.,Parasal Calcium;Pascal,,,,AIDS drug,
Aminosalicylic Acid,,,YES,"A highly specific, bacteriostatic agent active against Mycobacterium tuberculosis.",4-Aminosalicylic acid;Aminosalicylate;Nemasol Sodium;Novo-5 ASA;P-Aminosalicylic acid;Pacer;Para-aminosalicylate;Para-aminosalicylic Acid;Rezispas;Teebacin Acid,,PAS,,AIDS drug,
Aminosyn,,,YES,Prevents acivicin-induced toxicity,,,,,Ancillary Agent,
Aminothiadiazole,,,NO,,2-Aminothiadiazole;FDA 0084;NIST4005-51-0;NISTC4005510;NSC 4728;TF 128;TF-128;X 26,,A-TD;ATDA,47282,Chemotherapy,Enzyme inhibitor
Amiodarone Hydrochloride,,,YES,A class III antiarrhythmic drug. Amiodarone should be reserved for the treatment of life-threatening or incapacitating arrhythmias or for use in patients who cannot benefit from other antiarrhythmic agents or nonpharmacologic therapy; cardiac depressant,51087N;Alti-Amiodarone;Amio-Aqueous;Amiodarone;Braxan;Cordarone;Gen-Amiodarone;L-3428;Med Amiodarone;Novo-Amiodarone;Pacerone;Procor;SKF-33134-A,,,,Ancillary Agent,
Amonafide,,,NO,"Amonafide is inactive in  most malignancies, and its toxicity is substantial. Some degree of antitumor activity has been observed in patients with advanced breast cancer and prostate cancer, and additional investigations in these malignancies are needed.",Benzisoquinolinedione;M-FA-142;Nafidimide;Quinamed,,BIDA,308847;621093,Chemotherapy,Cytostatic agent--topoisomerase inhibitor
Amphotericin B,,,YES,A polyene antifungal.,Amphotericin B VHA Plus;Component of Mysteclin-F#;Fungilin;Fungizone,,AMB,,AIDS drug;Ancillary Agent,Antifungal agent
Amphotericin B Cholesteryl Sulfate Complex,,,YES,A complex of amphotericin B and cholesteryl sulfate for intravenous administration.,Amphotec;Amphotericin B colloidal dispersion,,ABCD,,AIDS drug;Ancillary Agent,Antifungal agent
Amphotericin B Lipid Complex,,,YES,"A formulation of amphotericin B complexed with two phospholipids, dimyristoyl phosphatidylcholine (DMPC) and dimyristoyl phosphatidylglycerol (DMPG).",,,ABLC,,AIDS drug;Ancillary Agent,Antifungal agent
Amphotericin B Liposome,,,YES,"A formulation of amphotericin B encapsulated in small unilamellar liposomes (AmBisome(R)); lipid components are hydrogenated phosphatidylcholine, cholesterol, and dimyristoyl phosphatidylglycerol.",AmBisome;Liposomal Amphotericin B,,,,AIDS drug;Ancillary Agent,Antifungal agent
Ampligen,,,YES,Nucleic acid antiviral agent that activates the 2-5A enzyme,,,,616524,AIDS drug,
Amrubicin,,,NO,Phase II SCLC 2007 Synthetic 9-aminoanthracycline. Pharmion.,,Small cell lung,AMR,,Chemotherapy,Anthracycline
Amsacrine,,,NO,A synthetic aminoacridine derivative with antineoplastic activity. Investigational drug.,Acridinyl anisidide;Amekrin;Amsa P-D;Amsidine;Amsidyl;CI 880;CI-880;CI880,All cancers,AMSA;m-AMSA,249992,Chemotherapy,Miscellaneous agent
Anagestone Acetate,,,NO,Progestin,Anatropin#,,,73880,Hormones and hormonal mechanisms,Progestin
Anagrelide HCl,,,NO,"Platelet reducing agent; reduces risk of thrombosis, and to ameliorate associated symptoms of thrombocythemia",Agrylin,Essential thrombocythemia,,724577,Differentiation inducing agent,Code as 'other' therapy for essential thrombocythemia ONLY;otherwise do not code
Anastrozole,,,NO,FDA approved A selective aromatase inhibitor. FDA approved use in advanced  breast cancer of post menopausal women.   Approved 2005 for hormone receptor positive early breast cancer.  AstraZeneca.,Arimidex;ICI-D1033;ZD 1033;ZD-1033;ZD1033,Breast cancer,,719344,Hormones and hormonal mechanisms,Non-steroidal Aromatase inhibitor
Ancitabine Hydrochloride,,,NO,Not found in Drugdex drug evaluation.,Ancytabine Hydrochloride;Cyclocytidine;Cyclocytidine Hydrochloride,,,145668,Chemotherapy,Cytostatic agent--DNA synthesis inhibitor
Angiostatin,,,NO,Phase II lung Phase I other Angiogenesis inhibitor. EntreMed.,,Lung;other cancer,,,Chemotherapy,Cytostatic agent--antiangiogenic agent
Angiostatin w/ Paclitaxel & Carboplatin,,,NO,Phase II NSCLC Anti-angiogenic + taxane + platinum. EntreMed.,,Lung cancer,,,Chemotherapy,combination chemo
Angiozyme,,,NO,"Phase II Antiangiogenic ribozymme. Chiron, Ribozyme Pharmaceuticals.",,Breast;colorectal;other cancer,,,Chemotherapy,Cytostatic agent--VGF target antiangiogenic agant
Anguidine,,,NO,,ANG 66;ANG-66;ANG66;Anguidin,,ANG;DAS,141537,Chemotherapy,mycotoxin;Protein synthesis inhibitor
Anhydrovinblastine,,,NO,Phase I Third generation chemotherapeutic. Prescient NeuroPharma.,AVLB,Lung cancer,,,Chemotherapy,Vinca plant alkaloid
Aniline mustard,,,NO,,Lymphochin;Lymphocin;Lymphoquin;TL 476;TL-476;TL476,,,18429,Chemotherapy,Alkylating agent
Annamycin,,,NO,Phase II breast; phase I/III leukemia Liposomal anthracycline. Aronex Pharmaceuticals.,Annamycine,Breast cancer;leukemia,,,Chemotherapy,Anthracycline antibiotic
Antabuse,,,YES,,,,,,AIDS drug,
Anthramycin,,,NO,,2-Propenamide;Antramycin,,,,Chemotherapy,Antitumor antibiotic
Anthrapyrazole,,,NO,A potentially useful drug for the treatment of certain types of malignant neoplasms. Additional clinical trials are needed to assess the safety and efficacy.,CI 937;CI-937;CI937;DUP 937;DUP-937;DUP937;Moxantrazole;Teloxantrone,,,355644,Chemotherapy,Topoisomerase inhibitor
Anthrapyrazole C 1941,,,NO,,,,,,Chemotherapy,Antitumor antibiotic;topoisomerase II inhibitor
Anti-B4-blocked Ricin,,,YES,,,,,,AIDS drug,
"Anti-CEA, I-131",,,NO,,Antiferritin antibody I-131,,I131,,"Biologic therapy (BRM, immunotherapy)",
Anti-EpCam,,,NO,Pre--Clinical Monoclonal antibody. Crucell.,,Colorectal cancer,,,"Biologic therapy (BRM, immunotherapy)",
Anti-PSMA Antibody,,,NO,Phase I Monoclonal antibody. Millenium Pharmaceuticals.,,Prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",
Anti-gastrin Therapeutic Vaccine,,,NO,"Phase III Gastroesophageal vaccine. Aphton, Aventis Pasteur.",G17DT,Colorectal;gastric;liver;pancreatic cancer,,,"Biologic therapy (BRM, immunotherapy)",
Antineoplaston A10,,,NO,Peptide derivative; ACS listed as unproven therapy,,Breast;other cancer,,648539,Other therapy,Unproven therapy
Antineoplaston AS2.1,,,NO,Peptide derivative; ACS listed as unproven therapy,,Breast;other cancer,,620261,Other therapy,Unproven therapy
Antithymocyte Globulin,,,YES,This drug is given along with other chemotherapy agents pre bone marrow transplant to help prevent graft versus host disease by acting as an immunosuppressant. It is also used to aplastic anemia whic is non-reportable.,Anti-thymocyte serum;Antilymphocyte Globulin;Thymoglobulin,,ALG;ATG;HAHTGG,720095,"Biologic therapy (BRM, immunotherapy)",
Anvirzel,,,NO,Phase I Plant derivative. Ozelle Pharmaceuticals.  Supposedly only available in Honduras,,Lung;prostate;skin cancer,,,Other therapy,extract of oleander plant;Unproven therapy
Apaziquone,,,SEE_REMARKS,"Code as chemotherapy when given to patients with superficial bladder cancer.
DO NOT Code when given to any other solid tumors: it is a radiosensitizer. ",EO9;Neoquin,Bladder cancer,,,Ancillary Agent;Chemotherapy,
Aphidicolin Glycinate,,,NO,,ICI 137233;ICI-137233;ICI137233,,,303812,Chemotherapy,Antimetabolite
Apligraf (graftskin),,,YES,"Phase III Living human skin. Organogenesis, Novartis Pharm.",Armoderm;Corethium;Dermagraft;TransCyte,Skin cancer,,,Ancillary Agent,
Apolizumab,,,NO,"Phase I ALL, other, Phase II  NHL B-cell Disappointing Phase II results.  Antibody. Protein Design Labs, NCI.",Hu1D10;Humanized 1D10;Remitogen;SMART1D1D,Leukemia;lymphoma;other cancer,,704867,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
Apra,,,NO,Phase II Anti-angiogenic. Cell Therapeutics.,CT 2584;CT-2584;CT2584,Prostate cancer;sarcoma,,,Chemotherapy,Cytostatic agent--antiangiogenic agent
Aprepitant,,,YES,Anti-nausea agent.  Ortho McNeil.,Emend,,,,Ancillary Agent,
Aptosyn,,,YES,"Phase III NSCLC, prostate Phase I/II breast, colorectal Selective apoptotic antineoplastic drug (SAAND). Cell Pathways, Inc.",Exisulind;FGN-1;Prevatac,Breast;colorectal;head & neck;lung;prostate cancer,,719619,Differentiation inducing agent,
Aranesp,,,YES,Phase II Erythropoiesis stimulating protein. Amgen.,Darbepoetin alfa;NESP;Novel erythropoiesis-stimulating protein,Multiple myeloma,,729969,Ancillary Agent,Growth factor
Aroplatin,,,NO,"Phase II Liposomal platinum. Aronex Pharmaceuticals, Antigenics.",,Colorectal;kidney;lung;ovarian;pancreatic cancer,,,Chemotherapy,Miscellaneous agent
Arsanilic Acid,,,YES,The code AS-101 has been used for an immunomodulator under investigation in the treatment of AIDS. Pharmacopoeias: In US for veterinary use only.,Aminarsonic Acid;AS 101;AS-101;AS101,,,618654,AIDS drug,
Arzoxifene,,,NO,"Phase III metastatic breast, Phase II ovarian Selective estrogen receptor modulator (SERM). Eli Lilly.",LY 353381;LY-353381;LY353381,Breast;endometrial cancer;ovarian,,714373,Hormones and hormonal mechanisms,Selective estrogen receptor modulator (SERM)
Asaley,,,NO,,Asalex,,,167780,Chemotherapy,Alkylating agent
Asparaginase,,,NO,Antineoplastic.,Asnase;Asparaginase (Escherichia coli);Colaspase;Crasnitin#;EC3.1.5.1.;Elspar;Kidrolase;L-Asparaginase;Leunase (enzyme);MK-965;Re-82-TAD-15,Acute lymphoblastic leukemia (ALL),ASP;ASPA;L-ASE;L-ASP,109229,Chemotherapy,Antineoplastic agent
Asparaginase (Erwinia carotovora),,,NO,,Erwinia asparaginase,,ASP;ASPA;L-ASE;L-ASP,106977,Chemotherapy,Antineoplastic agent
Asparaginase-PEG,,,NO,Merck,,,,624239,Chemotherapy,Antineoplastic agent
Asparaginase-PEG (K-H),,,NO,,,,,644954,Chemotherapy,Antineoplastic agent
Asparlas,,Acute lymphoblastic leukemia (ALL),NO,"December 20, 2018 FDA approved Asparlas as a component of a multi-agent chemotherapeutic regimen for acute lymphoblastic leukemia (ALL).",calaspargase pegol-mknl,,,,Chemotherapy,Antineoplastic agent
Asperlin,,,NO,,933;U 13933;U-13;U13933,,,93158,Chemotherapy,No longer in use
Aspirin,,,NO,"Aspirin is approved treatment for Essential Thrombocythemia (ET) ONLY. The therapeutic dose for essential thrombocythemia is in the range of 70-100 mg/day (this is considered low-dose).

Aspirin for cardiovascular protection and pain control is in the range of 160 mg/day and higher.",Bayer Aspirin;Ecotrin;Empirin;many others;Measurin;St. Joseph Adult,Essential Thrombocythemia,ASA,,Other therapy,Code as 'Other' therapy for essential thrombocythemia ONLY;otherwise it is a differentiating agent (do not code)
Atamestane,,,NO,Phase III metastatic Aromatase inhibitor. BioMedicines.,,Breast cancer,,,Hormones and hormonal mechanisms,Aromatase inhibitor
Atevirdine Mesylate,,,YES,"A non-nucleoside reverse transcriptase inhibitor. Clinical data are insufficient to determine the role of atevirdine in HIV infection or AIDS. Studies evaluating its efficacy in two- and three-drug combinations (eg, with zidovudine, didanosine, zalcitabine) are needed; direct comparisons of atevirdine monotherapy with zidovudine, zidovudine/atevirdine, delavirdine, and nevirapine are also needed.",U 85961;U 87201E;U-85961;U-87201E;U85961;U87201E,,,,AIDS drug,
Atezolizumab,,"Non small cell lung cancer (NSCLC), melanoma",NO,"October 15, 2021 The FDA approved atezolizumab (Tecentriq) for adjuvant treatment following resection and platinum-based chemotherapy in patients with stage II to IIIA non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test.

July 30, 2020. The FDA approved atezolizumab (Tecentriq) in combination with cobimetinib and vemurafenib for patients with BRAF V600 mutation-positive unresectable or metastatic melanoma. 

June 5, 2020: Atezolizumab in combination with bevacizumab was approved by FDA for patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy. 

May 18, 2020 : The FDA approved atezolizumab (TECENTRIQ®) for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), with no EGFR or ALK genomic tumor aberrations

December 3, 2019 FDA approved atezolizumab (TECENTRIQ) in combination with paclitaxel protein-bound and carboplatin for the first-line treatment of adult patients with metastatic non-squamous non-small cell lung cancer (NSCLC) with no EGFR or ALK genomic tumor aberrations. 

March 18, 2019 FDA approved atezolizumab (TECENTRIQ) in combination with carboplatin and etoposide, for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC). 

March 8, 2019 FDA approves atezolizumab for PD-L1 positive unresectable locally advanced or metastatic triple-negative breast cancer. 

12/6/2018 FDA approved atezolizumab (TECENTRIQ), in combination with bevacizumab, paclitaxel, and carboplatin for the first-line treatment of patients with metastatic non-squamous, non-small cell lung cancer with no EGFR or ALK genomic tumor aberrations.  

7/20/2018: FDA has granted Breakthrough Therapy Designation for Tecentriq (atezolizumab) in combination with Avastin (bevacizumab) as an initial treatment for people with advanced or metastatic hepatocellular.

4/23/2017: FDA granted accelerated approval to Tecentriq (atezolizumab) for the initial treatment of patients with locally advanced or metastatic urothelial carcinoma who are not eligible for cisplatin chemotherapy. Tecentriq was previously approved for patients with locally advanced or mUC who have disease progression during or following any platinum-containing chemotherapy, or within 12 months of receiving chemotherapy before surgery or after surgery.

October 18, 2016: FDA approved atezolizumab (TECENTRIQ) for treatment of patients with metastatic non-small cell lung carcinoma (NSCLC)whose disease has progressed during or following platinum-containing chemotherapy.

 May 18, 2016 FDA gave accelerated approval to atezolizumab injection (Tecentriq) for the treatment of patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.   

Feb. 2015: FDA granted breakthrough designation to the immunotherapy MPDL3208A for patients with PD-L1 positive non-small cell lung cancer whose disease has progressed during or after platinum based chemotherapy and is an appropriate targeted therapy for those with an EGFR mutation-positive or ALK positive tumor.

2014: FDA granted breakthrough designation to MPDL3208A for treatment of bladder cancer.",Anti-PD-L1 Monoclonal antibody MPDL3280A;RG7446;anti-PDL1;TECENTRIQ,Bladder;Lung;Liver;Breast,,,"Biologic therapy (BRM, immunotherapy)",monoclonal antibody
Atiprimod,,,NO,Phase II carcinoid 2007 Dual action anti-angiogenesis and apoptosis inducer. Callisto Pharmaceuticals.,Azaspirane;SK&F106615,carcinoid;Myeloma,,,Chemotherapy,Cytostatic agent--anti-angiogenesis agent
